,Time,Density,gasTemp,av,zeta,radfield,CH3OH,runName,N_CH3OH,Time_log,Density_log,gasTemp_log,av_log,zeta_log,radfield_log,CH3OH_log,cosmicRay,interstellarRad,iDens,fTemp,normalizedTime,normalizedTime_log,tipo,shockVel,shockVel_log,shockVel_str
0,0.0,100000000.0,15.0,96440.0,1000.0,1000.0,7.63449e-10,1000.0_1000.0_100000000.0_300.0.dat,1.1780323449599998e+17,-inf,8.0,1.1760912590556813,4.984257201705416,3.0,3.0,-9.117219969424012,1000.0,1000.0,100000000.0,300.0,0.0,-inf,hot core,,,
1,1e-07,100000000.0,15.0,96440.0,1000.0,1000.0,7.63449e-10,1000.0_1000.0_100000000.0_300.0.dat,1.1780323449599998e+17,-7.0,8.0,1.1760912590556813,4.984257201705416,3.0,3.0,-9.117219969424012,1000.0,1000.0,100000000.0,300.0,3.5701535166012137e-13,-12.447313108823568,hot core,,,
2,1e-06,100000000.0,15.0,96440.0,1000.0,1000.0,7.63449e-10,1000.0_1000.0_100000000.0_300.0.dat,1.1780323449599998e+17,-6.0,8.0,1.1760912590556813,4.984257201705416,3.0,3.0,-9.117219969424012,1000.0,1000.0,100000000.0,300.0,3.5701535166012137e-12,-11.447313108823568,hot core,,,
3,1e-05,100000000.0,15.0,96440.0,1000.0,1000.0,7.63449e-10,1000.0_1000.0_100000000.0_300.0.dat,1.1780323449599998e+17,-5.0,8.0,1.1760912590556813,4.984257201705416,3.0,3.0,-9.117219969424012,1000.0,1000.0,100000000.0,300.0,3.570153516601214e-11,-10.447313108823568,hot core,,,
4,0.0001,100000000.0,15.0,96440.0,1000.0,1000.0,7.63449e-10,1000.0_1000.0_100000000.0_300.0.dat,1.1780323449599998e+17,-4.0,8.0,1.1760912590556813,4.984257201705416,3.0,3.0,-9.117219969424012,1000.0,1000.0,100000000.0,300.0,3.570153516601214e-10,-9.447313108823568,hot core,,,
5,0.001,100000000.0,15.0,96440.0,1000.0,1000.0,7.63451e-10,1000.0_1000.0_100000000.0_300.0.dat,1.17803543104e+17,-3.0,8.0,1.1760912590556813,4.984257201705416,3.0,3.0,-9.117218831708426,1000.0,1000.0,100000000.0,300.0,3.570153516601214e-09,-8.447313108823568,hot core,,,
6,0.01,100000000.0,15.0,96440.0,1000.0,1000.0,7.63465e-10,1000.0_1000.0_100000000.0_300.0.dat,1.1780570336000002e+17,-2.0,8.0,1.1760912590556813,4.984257201705416,3.0,3.0,-9.117210867782779,1000.0,1000.0,100000000.0,300.0,3.5701535166012136e-08,-7.447313108823568,hot core,,,
7,0.1,100000000.0,15.0,96440.0,1000.0,1000.0,7.63533e-10,1000.0_1000.0_100000000.0_300.0.dat,1.17816196032e+17,-1.0,8.0,1.1760912590556813,4.984257201705416,3.0,3.0,-9.117172187935406,1000.0,1000.0,100000000.0,300.0,3.570153516601214e-07,-6.447313108823568,hot core,,,
8,1.0,100000000.0,15.01,96440.0,1000.0,1000.0,7.6786e-10,1000.0_1000.0_100000000.0_300.0.dat,1.1848386943999998e+17,0.0,8.0,1.1763806922432705,4.984257201705416,3.0,3.0,-9.114717955450153,1000.0,1000.0,100000000.0,300.0,3.570153516601214e-06,-5.447313108823568,hot core,,,
9,10.0,100000000.0,15.05,96440.0,1000.0,1000.0,8.94039e-10,1000.0_1000.0_100000000.0_300.0.dat,1.37953793856e+17,1.0,8.0,1.1775364999298623,4.984257201705416,3.0,3.0,-9.048643535884883,1000.0,1000.0,100000000.0,300.0,3.570153516601214e-05,-4.447313108823568,hot core,,,
10,100.0,100000000.0,15.37,96440.0,1000.0,1000.0,2.26416e-09,1000.0_1000.0_100000000.0_300.0.dat,3.4936894464e+17,2.0,8.0,1.1866738674997452,4.984257201705416,3.0,3.0,-8.64509288637871,1000.0,1000.0,100000000.0,300.0,0.0003570153516601214,-3.4473131088235682,hot core,,,
11,1000.0,100000000.0,17.59,96440.0,1000.0,1000.0,7.41644e-09,1000.0_1000.0_100000000.0_300.0.dat,1.14438635776e+18,3.0,8.0,1.2452658394574612,4.984257201705416,3.0,3.0,-8.129804512425657,1000.0,1000.0,100000000.0,300.0,0.003570153516601214,-2.4473131088235682,hot core,,,
12,10000.0,100000000.0,32.89,96440.0,1000.0,1000.0,4.01981e-08,1000.0_1000.0_100000000.0_300.0.dat,6.2027276224e+18,4.0,8.0,1.5170638734826547,4.984257201705416,3.0,3.0,-7.39579447375673,1000.0,1000.0,100000000.0,300.0,0.03570153516601214,-1.4473131088235682,hot core,,,
