,cosmicRay,interstellarRad,iDens,shockVel,outputFile,abundLoadFile,run_result,dissipation_time,elements_conserved,Successful
0,10.0,3.0,1000.0,10.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_1000.0_10.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse1000.0_10.0_3.0.dat,1,11718.987341772154,True,True
1,10.0,3.0,1000.0,25.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_1000.0_25.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse1000.0_10.0_3.0.dat,1,11718.987341772152,True,True
2,10.0,3.0,1000.0,40.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_1000.0_40.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse1000.0_10.0_3.0.dat,1,11718.987341772154,True,True
3,10.0,3.0,10000.0,10.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_10000.0_10.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse10000.0_10.0_3.0.dat,1,1171.8987341772151,True,True
4,10.0,3.0,10000.0,25.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_10000.0_25.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse10000.0_10.0_3.0.dat,1,1171.8987341772154,False,False
5,10.0,3.0,10000.0,40.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_10000.0_40.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse10000.0_10.0_3.0.dat,1,1171.8987341772151,False,False
6,10.0,3.0,100000.0,10.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_100000.0_10.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse100000.0_10.0_3.0.dat,1,117.18987341772151,False,False
7,10.0,3.0,100000.0,25.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_100000.0_25.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse100000.0_10.0_3.0.dat,1,117.18987341772151,False,False
8,10.0,3.0,100000.0,40.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/10.0_3.0_100000.0_40.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse100000.0_10.0_3.0.dat,1,117.18987341772151,False,False
9,1000.0,3.0,1000.0,10.0,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/modelData/1000.0_3.0_1000.0_10.0.dat,/data2/gsampsonolalde/LEAPS-2024/Grid/2024-07-01_124848/startData/startcollapse1000.0_1000.0_3.0.dat,1,11718.987341772154,True,True
